"y","m","d","Diadema","Ibirapuera","Maua","PDPedro","SAmaro","Pinheiros","Santana","Caetano","Itaquera","Ipen","Parelheiros","Senhora"
2005,1,1,76.875,88.625,72.125,111.375,89.875,60.375,NA,78.75,NA,NA,NA,96.875
2005,1,2,82.875,109.5,72.5,110.125,105.25,79,NA,81.875,NA,NA,NA,94.25
2005,1,3,62.625,63.375,62.625,58.875,89.25,42.25,NA,54,NA,NA,NA,61.875
2005,1,4,25.875,22,33.5,25.125,37.75,14.875,NA,22.5,NA,NA,NA,33.25
2005,1,5,33.125,16.875,28,NA,45.625,13.5,NA,27,NA,NA,NA,33.75
2005,1,6,45.625,33.5,55.125,NA,55.5,17.375,NA,46,NA,NA,NA,47.75
2005,1,7,56.75,48.5,75.375,NA,73.125,22,NA,56.75,NA,NA,NA,50.5
2005,1,8,72.5,82.375,108.75,NA,83.75,45,NA,82.625,NA,NA,NA,67.25
2005,1,9,85.5,72.125,107.25,NA,93.875,43.875,NA,78.375,NA,NA,NA,59.625
2005,1,10,67.125,66.5,65.7142857142857,NA,81.75,44.125,NA,59.125,NA,NA,NA,71.125
2005,1,11,37.2857142857143,25,36.8571428571429,NA,41.375,14,NA,30.8571428571429,NA,NA,NA,23.875
2005,1,12,35.1428571428571,34.75,32.6666666666667,NA,44,15.8571428571429,NA,32,NA,NA,NA,18.5
2005,1,13,82,142.375,76.875,NA,110.25,105,NA,98.875,NA,NA,NA,151.285714285714
2005,1,14,89.25,144.25,67.75,NA,133.875,97,NA,80.75,NA,NA,NA,114.25
2005,1,15,90.5,91.625,102.375,NA,96.875,61.5,NA,85.625,NA,NA,NA,82.3333333333333
2005,1,16,56.5,54.7142857142857,52.2857142857143,NA,58.125,34.25,NA,49,NA,NA,NA,56.75
2005,1,17,36.8571428571429,35.5714285714286,40.2857142857143,NA,42.375,21.1428571428571,NA,38,NA,NA,NA,26
2005,1,18,33.25,44.125,41.125,NA,47.875,25.5,NA,35,NA,NA,NA,48.625
2005,1,19,26.125,22.25,25.7142857142857,NA,34.375,10.75,NA,23.875,NA,NA,NA,31.125
2005,1,20,16.875,8.125,11.125,NA,19.5,4.71428571428571,NA,17.125,NA,NA,NA,25.125
2005,1,21,20.375,14.5,13.25,NA,23.625,2.85714285714286,NA,18.125,NA,NA,NA,15.2857142857143
2005,1,22,41.5,27.5,52,NA,49.25,12.5714285714286,NA,40.5,NA,NA,NA,34.625
2005,1,23,82.75,74.875,102.25,NA,83.25,41.75,NA,84.375,NA,NA,NA,52.5
2005,1,24,64.8571428571429,67.625,59.125,NA,80.125,31.125,NA,58,NA,NA,NA,54.25
2005,1,25,42.4285714285714,33.7142857142857,35.8571428571429,NA,43.125,18.2857142857143,NA,39.7142857142857,NA,NA,NA,33.875
2005,1,26,36.2857142857143,28.2857142857143,32.2857142857143,NA,39.25,16.7142857142857,NA,36.5714285714286,NA,NA,NA,20
2005,1,27,18.4285714285714,10.75,12.2857142857143,NA,20.875,8.14285714285714,NA,20.5,NA,NA,NA,8.57142857142857
2005,1,28,22.25,NA,21.5,NA,37.625,8.875,NA,26.125,NA,NA,NA,18.625
2005,1,29,29.625,NA,29.25,NA,47.625,7,NA,24.375,NA,NA,NA,9.42857142857143
2005,1,30,46.875,NA,35.875,NA,65,37.5,NA,39.125,NA,NA,NA,41.75
2005,1,31,32.125,NA,26,NA,50.875,19.8571428571429,NA,36.125,NA,NA,NA,31
2005,2,1,26.125,NA,22,NA,35.25,13.5,NA,27.875,NA,NA,NA,21.125
2005,2,2,24.75,NA,30.375,NA,32.625,15.875,NA,34.125,NA,NA,NA,41.75
2005,2,3,22,NA,19.375,NA,24.25,6.875,NA,25.25,NA,NA,NA,16.125
2005,2,4,18.375,NA,14.5,NA,25.375,4.75,NA,19.5,NA,NA,NA,4.25
2005,2,5,23.875,NA,17.25,NA,44.7142857142857,15,NA,26.75,NA,NA,NA,27
2005,2,6,35.75,43.75,26.125,NA,47.8,28.25,NA,40.125,NA,NA,NA,33.375
2005,2,7,33.75,43.625,28.75,NA,47.125,28.5,NA,39,NA,NA,NA,26.875
2005,2,8,44,54.5,32.625,NA,62.875,40.1666666666667,NA,46,NA,NA,NA,43.625
2005,2,9,54.125,78.625,43.125,NA,84.25,51.625,NA,55.75,NA,NA,NA,57.625
2005,2,10,89.625,94.25,119.875,NA,100,40.625,NA,92.375,NA,NA,NA,82.375
2005,2,11,66.25,76.375,84.75,NA,81,35,NA,72.5714285714286,NA,NA,NA,84.375
2005,2,12,86,90.875,104.625,NA,93.625,44.875,NA,88.625,NA,NA,NA,73.75
2005,2,13,59.875,73,58.875,NA,68.625,44.375,NA,69.5,NA,NA,NA,72.5
2005,2,14,41.375,48,41,NA,52.25,19.25,NA,46.75,NA,NA,NA,38.625
2005,2,15,34.5,36.375,32.75,NA,40.875,13.625,NA,36.375,NA,NA,NA,31.375
2005,2,16,79.5,112.875,62.5,NA,117.875,65.75,NA,75.375,NA,NA,NA,94.25
2005,2,17,89.25,123.571428571429,88.625,NA,134.25,52.5,NA,84.75,NA,NA,NA,86.25
2005,2,18,144.125,200.875,112.75,NA,214.625,88.5,NA,120.625,NA,NA,NA,112.25
2005,2,19,64.375,92.75,63.375,NA,80.5,56.75,NA,72.25,NA,NA,NA,102.75
2005,2,20,56.8571428571429,63.625,46.8571428571429,NA,67.2857142857143,42.5,NA,57.125,NA,NA,NA,67.125
2005,2,21,60,82,53.625,NA,79,44.625,NA,56.75,NA,NA,NA,70
2005,2,22,116.75,113,153.625,NA,134.25,44.75,NA,112.5,NA,NA,NA,104.5
2005,2,23,80.625,90.875,113.25,NA,89.5,40.4,NA,81.75,NA,NA,NA,93.625
